Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite,,,2020-04-09 15:56:02,2020-04-09 15:56:13,10.814s,PASSED
,,,,,,
Test Cases/rest GET/New Test Case,,,2020-04-09 15:56:02,2020-04-09 15:56:12,10.051s,PASSED
"sendRequest(findTestObject(""rest/New Request""))",,,2020-04-09 15:56:03,2020-04-09 15:56:10,6.962s,PASSED
"sendRequest(findTestObject(""rest/create""))",,,2020-04-09 15:56:10,2020-04-09 15:56:11,1.179s,PASSED
"sendRequest(findTestObject(""rest/put""))",,,2020-04-09 15:56:11,2020-04-09 15:56:12,1.210s,PASSED
